Question ,Modal Answer,Marks,Student ID,Student�s Answer
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4,[2],"A constructor is automatically called whenever an instance of a class is created, a function must be explicitly called by the user. "
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4,[29],"constructors cannot return values, so they cannot specify a return type like functions can."
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",3.5,[31],A constructor is a function used to initialize an object's data when it is created.
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",2.5,[12],a constructor initialises everything so that nothing is left empty or with random varioubles and a function modifies those variables with data.
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",3.5,[21],A constructor initialized values at the execution of its instantiation. It provides default values.
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4,[13],"A constructor sets up the default values of variables when an object is instantiated, whereas a function allows interaction with that object."
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",3,[11],"A constructor is used to create an object that can be employed in the main function of a program.  This may or may not execute code along with it.<br><br>A function is a set of code that executes when called, but does not create a new object."
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4,[17],a constructor initializes data members but the functions actually perform tasks. Constructors cant return values either. 
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",3.5,[7],"a constructor does not need a type, and it is used to initialize the variables."
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4,[10],Constructors don't have a return type.
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",3,[27],constructor creates the class object into memory where functions perform actions against that object
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4,[25],constructors cannot return values
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",2.5,[20],A constructor initializes values and a function usual performs some sort of operation.
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",5,[18],A constructor is a function used to initialize an object's data when it is created. It's call is made implicitly when the object is created and must be defined with the same name as the class. Constructor also cannot return a value like a function can.
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4,[19],A constructor is used to create an instance of a class and has the same name as that class. A function cannot have the same name as a class and computes data.
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",3,[30],"a constructor is a function that initializes a class instance, a function performs whatever task it is written for"
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4,[16],"A constructor cannot return values, not even void, but function get a return value."
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",5,[26],"a constructor cannot return values, its not even void. it is used to initialize an object's data when it is created.<br>whereas, a function is created to do a specific task, and it can return values."
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",2.5,[1],A constructor initializes an object. A function is part of an object.
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",2.5,[28],constructors initialize the data that is then used in the calculations of a <br><br>function
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",3.5,[15],"a constructor is called when the class is created, a function can be called any time."
What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type.",4,[14],"constructor is a special block of statements called when an object is created, either when it is declared statically or constructed on the stack. However a function is a portion of code within a larger program, which performs a specific task and independent to the rest of the code. "
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[6],The compiler creates a default constructor when we do not define one in our class file
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",3.5,[5],during compilation
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[8],When the class does not explicitly include a constructor.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",3,[3],When no parameters are set is when a default constructor is used.  
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[4],When a class does not explicitly include a constructor.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",1.5,[9],When there are no arguments passed.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[22],when there is not one already for a specific class
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",3.5,[23],When it the programs compiles
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[2],when a constructor is not provided by the programmer of the class
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[29],In any class that does not explicitly include a constructor.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",1,[31],Before the main function of the code.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[12],whenevery you dont specifiy your own
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[21],When non are provided
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[13],C++ will create a default constructor when no other constructor is present.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[11],"When no constructor was specified in the constructor's class, but the class is instantiated in a program."
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[17],"When no constructor exists when one is needed, a parameterless default constructor is declared."
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[7],"The Compiler creates this automatically for you, unless you specifically create one."
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[10],In any class that doesn't explicitly include a constructor.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[27],when no user-defined constructor exists
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[25],"If a class does not explicitly include a constructor, the compiler creates one."
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[20],When you do not provide your own constructor.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[18],When a class does not explicitly include a constructor.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[19],C++ creates a default constructor during compilation if one is not provided.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[30],when a class does not explicitly include a constructor
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[16],The compiler will provide one when class does not explictly include a consructor.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[26],when the programmer does not explicitly include a constructor
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[1],When one is not explicitly stated.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[28],when one is not explicitly included by a class<br>
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[15],When you dont specify any constructors.
When does C++ create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor.",5,[14],"at the very beginning when you run a complier, matter a fact in C++ it generates its own default constructor for the class provided if no other constructors have been provided by user"
How many constructors can be created for a class?,Unlimited number.,0,[6],Just one per class.
How many constructors can be created for a class?,Unlimited number.,5,[5],As many as you want so long as they have different parameters.
How many constructors can be created for a class?,Unlimited number.,5,[8],"There is no limit to the number of constructors in a class because like functions, constructors can be overloaded."
How many constructors can be created for a class?,Unlimited number.,1.5,[3],It depends what type of class is being defined.  Typically you would have a constructor call for each object.
How many constructors can be created for a class?,Unlimited number.,5,[4],"In C++, the constructor can be overloaded in that there can be more than one constructor for a class, each having different parameters."
How many constructors can be created for a class?,Unlimited number.,0,[9],1
How many constructors can be created for a class?,Unlimited number.,5,[22],any number you want
How many constructors can be created for a class?,Unlimited number.,0,[23],One
How many constructors can be created for a class?,Unlimited number.,5,[2],"by default just one, but they may be overloaded to create as many constructors as necessary"
How many constructors can be created for a class?,Unlimited number.,5,[29],as many as you want
How many constructors can be created for a class?,Unlimited number.,5,[31],"As many as you want, with different parameters."
How many constructors can be created for a class?,Unlimited number.,5,[12],infinite
How many constructors can be created for a class?,Unlimited number.,5,[21],as many as you need
How many constructors can be created for a class?,Unlimited number.,5,[13],"As many as are needed, depending on how many variables one wishes to directly modify or leave as default when instantiating an object."
How many constructors can be created for a class?,Unlimited number.,5,[11],"A very large amount of constructors can be created for any given class through overloading.  When two constructors with a different type or number of parameters are created, they are said to be overloaded, and C++ can recognize which constructor to use based on the type of the variables that are passed/returned."
How many constructors can be created for a class?,Unlimited number.,2.5,[17],It depends on the number of objects. Each object should have a constructor.
How many constructors can be created for a class?,Unlimited number.,5,[7],"Theoretically unlimited, as long as they are defined by the programmer."
How many constructors can be created for a class?,Unlimited number.,5,[10],As many as needed.
How many constructors can be created for a class?,Unlimited number.,5,[27],as many as wanted/needed
How many constructors can be created for a class?,Unlimited number.,4.5,[25],several
How many constructors can be created for a class?,Unlimited number.,0,[20],One
How many constructors can be created for a class?,Unlimited number.,0,[18],one
How many constructors can be created for a class?,Unlimited number.,5,[19],There can be infinite constructors as long as the signature is different.
How many constructors can be created for a class?,Unlimited number.,1.5,[30],that depends on the number of data members in the class
How many constructors can be created for a class?,Unlimited number.,0,[16],one
How many constructors can be created for a class?,Unlimited number.,5,[26],you can overload constructors as you need
How many constructors can be created for a class?,Unlimited number.,5,[1],As many as the programmer wants to create. 
How many constructors can be created for a class?,Unlimited number.,0,[28],one
How many constructors can be created for a class?,Unlimited number.,5,[15],"as many as you want, as long as they each have a unique argument list"
How many constructors can be created for a class?,Unlimited number.,5,[14],as many as the user decides to use. 
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4,[6], A function definition does not require any additional information that needs to be passed inside its parenthesis<br> to execute. While a definition prototype requires more than one parameters to be passed in order to complete its <br>task.
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",2.5,[5],"The FUNCTION PROTOTYPE is where the programmer declares that he/she is using a function other than main( ). This is like declaring a variable, the programmer knows that he/she will be using in the future, but has yet to say where they are going to use it, or how. This is answers the question who, it gives the function a name and character. The function prototype, by common practice is placed at the beginning of the program after the #includes and before main( ).<br>The FUNCTION DEFINITION is the guts of the function. This is where the programmer decides what the function is going to do and tells it how to do it. It takes whatever information it is given and performs the operations. It works sort of like the brain, the brain takes in input and based upon that input performs in some way producing an output. The function defintion is placed outside of main( ) and any other functions. A function is its own entity and should be thought of as such."
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",5,[8],"A function prototype tells the compiler the function name, return type and the number and type of parameters without revealing the implementations contained in the function definition."
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",3,[3],Function prototype is a declaration.  Function definitions (w/multiple parameters) often require more than one piece of information. to perform their tasks.
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",5,[4],"A function prototype is a declaration of a function that tells the compiler the function's name, its return type and the types of its parameters."
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4.5,[9],A prototype shows only return types and necessary parameters. The definition includes names for those parameters and defines what the object is actually capable of doing.
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4.5,[22],prototype only tells the user what data types go into a function and what type is returned.
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4.5,[23],Function prototype is located in the .h file and only contains the access function name and paramater type.<br><br>Function definition contains the code for the function to perform its activity.
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4,[2],"a function prototype is used to reference the compiler to a function that will be defined later on, a function definition is the actual function itself, complete with return type, parameters, etc..."
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",4.5,[29],A function prototype describes a class's public interface without revealing the class's member function implementations
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",2,[31],"Function definitions are just that, the definition. The prototype is what the compiler uses to check that calls to function are correct."
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",3,[12],a prototype does not include any actual code where the function has all the code that is executed in the program.
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",3,[21],a prototype declares what will be used in the program and the definition 
What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i.e., the name of the function, the return type, and the parameters' type. The function definition includes the actual body of the function.",5,[13],"A function prototype lays out the name, return type, and the number and types of parameters the function expects to receive in a certain order.  The details for function prototypes are in the function definition."
